timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
13240000,-0.008732812,-0.013872827,0.0053685084,4000,0,-0.1233387,0.11362696,-10.023413,4000
13244000,-0.0138628995,-0.014242473,0.00018684454,4000,0,-0.103514716,0.10668871,-9.957467,4000
13248000,-0.012312872,-0.0109841125,-0.0038997156,4000,0,-0.074543186,0.17998138,-9.85474,4000
13252000,-0.018989256,-0.014813847,0.0015105373,4000,0,-0.07437344,0.19163227,-9.750805,4000
13256000,-0.017678464,-0.0133343125,0.0048640356,4000,0,-0.01273328,0.14649408,-9.606383,4000
13260000,-0.012117955,-0.0076692067,0.0037567934,4000,0,-0.055522013,0.10894337,-9.594615,4000
13268000,-0.016354362,-0.018030265,0.005353313,4000,0,-0.07047884,0.10031408,-9.425026,4000
13272000,-0.020534987,-0.02164255,4.8888276e-05,4000,0,-0.08547062,-0.030540638,-9.333903,4000
13276000,-0.02431616,-0.017737405,-0.0019049959,4000,0,-0.15851328,0.0481803,-9.264686,4000
13280000,-0.02583812,-0.018975941,-0.00087379,4000,0,-0.11841088,0.117830515,-9.224311,4000
13284000,-0.022979245,-0.019815536,0.0016378721,4000,0,-0.081208356,0.11402697,-9.198085,4000
13288000,-0.019942436,-0.020287193,0.004135376,4000,0,-0.08119095,0.13319267,-9.127475,4000
13292000,-0.021645227,-0.021868102,0.001473073,4000,0,-0.061357938,0.13556689,-9.045379,4000
13296000,-0.028013278,-0.02060077,0.0010488668,4000,0,-0.04866154,0.043125194,-9.092674,4000
13300000,-0.02895116,-0.016592849,0.005653324,4000,0,-0.09543072,0.048203934,-9.035568,4000
13308000,-0.02525411,-0.02588561,0.0020873449,4000,0,-0.13515592,0.07753585,-8.849445,4000
13316000,-0.030462153,-0.029217351,0.0005284876,4000,0,-0.12275095,0.074908815,-8.945758,4000
13324000,-0.040528167,-0.021745399,0.004697157,4000,0,-0.12059424,0.13060099,-8.981757,4000
13328000,-0.04032728,-0.02721765,0.0027563155,4000,0,-0.111863256,0.0859629,-8.93425,4000
13332000,-0.03446087,-0.029255403,-0.0005992954,4000,0,-0.14368781,0.053972535,-8.8369255,4000
13336000,-0.03389352,-0.026470445,-0.0010692457,4000,0,-0.118669204,0.061359722,-8.85457,4000
13340000,-0.040528808,-0.024471115,0.0037158255,4000,0,-0.09520088,0.10768975,-8.939082,4000
13344000,-0.045043435,-0.022292363,-1.5714966e-05,4000,0,-0.12073931,0.16035543,-8.883541,4000
13348000,-0.03909717,-0.016887585,0.0012702302,4000,0,-0.109715566,0.12551081,-8.89509,4000
13352000,-0.035662122,-0.021776006,0.001559882,4000,0,-0.064806,0.12965405,-8.9614935,4000
13356000,-0.03306448,-0.022310648,-0.0041984874,4000,0,-0.05547529,0.15131377,-8.987168,4000
13360000,-0.029795833,-0.020009443,0.0017392001,4000,0,-0.10329624,0.07358326,-9.003248,4000
13364000,-0.02908909,-0.025465073,0.0066436226,4000,0,-0.1250066,0.08218051,-9.029565,4000
13368000,-0.026686851,-0.02407919,0.0063912445,4000,0,-0.124135405,0.12578742,-9.011738,4000
13372000,-0.024720134,-0.022835806,0.002258708,4000,0,-0.1530491,0.1118408,-9.048852,4000
13376000,-0.02288914,-0.01972723,0.00047371545,4000,0,-0.1298048,0.07290278,-9.151639,4000
